
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:38:26 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:38:29.022] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:38:29.023] [scope] [info] recorded CPU goveror
[2023-10-09 17:38:29.023] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:38:29.023] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:38:31-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1960.75 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.68, 11.22, 26.93
-------------------------------------------------------------------------------------------------------------------------
Benchmark                                                               Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------------------
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):8/manual_time               7012 ns   1718050297 ns       100306 bytes=256 bytes_per_second=34.8199M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):8/manual_time               7001 ns   1717467596 ns       100306 bytes=256 bytes_per_second=34.8705M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):8/manual_time               7034 ns   1718915612 ns       100306 bytes=256 bytes_per_second=34.7105M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):8/manual_time               7016 ns   1717095274 ns       100306 bytes=256 bytes_per_second=34.7977M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):8/manual_time               7027 ns   1718753374 ns       100306 bytes=256 bytes_per_second=34.7412M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):8/manual_time_mean          7018 ns   1718056431 ns            5 bytes=256 bytes_per_second=34.788M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):8/manual_time_median        7016 ns   1718050297 ns            5 bytes=256 bytes_per_second=34.7977M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):8/manual_time_stddev        12.8 ns       789701 ns            5 bytes=0 bytes_per_second=64.9808k/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):8/manual_time_cv            0.18 %          0.05 %             5 bytes=0.00% bytes_per_second=0.18% dst_id=-nan% src_id=-nan%
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):9/manual_time               7085 ns   1698900110 ns        99014 bytes=512 bytes_per_second=68.9155M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):9/manual_time               7074 ns   1700437623 ns        99014 bytes=512 bytes_per_second=69.0248M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):9/manual_time               7078 ns   1700241486 ns        99014 bytes=512 bytes_per_second=68.9863M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):9/manual_time               7068 ns   1696304490 ns        99014 bytes=512 bytes_per_second=69.088M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):9/manual_time               7085 ns   1699981737 ns        99014 bytes=512 bytes_per_second=68.913M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):9/manual_time_mean          7078 ns   1699173089 ns            5 bytes=512 bytes_per_second=68.9855M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):9/manual_time_median        7078 ns   1699981737 ns            5 bytes=512 bytes_per_second=68.9863M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):9/manual_time_stddev        7.64 ns      1710103 ns            5 bytes=0 bytes_per_second=76.2884k/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):9/manual_time_cv            0.11 %          0.10 %             5 bytes=0.00% bytes_per_second=0.11% dst_id=-nan% src_id=-nan%
