
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 08:21:14 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 20:21:15.373] [scope] [info] recorded system CPU turbo state
[2023-10-09 20:21:15.373] [scope] [info] recorded CPU goveror
[2023-10-09 20:21:15.373] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 20:21:15.373] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T20:21:17-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1796.12 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.45, 0.25, 0.20
-----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations UserCounters...
-----------------------------------------------------------------------------------------------------------------------------------
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):12/manual_time              3260 ns       282479 ns       214287 bytes=4.096k bytes_per_second=1.17016G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):12/manual_time              3267 ns       283941 ns       214287 bytes=4.096k bytes_per_second=1.16773G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):12/manual_time              3288 ns       284167 ns       214287 bytes=4.096k bytes_per_second=1.16006G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):12/manual_time              3290 ns       284445 ns       214287 bytes=4.096k bytes_per_second=1.15954G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):12/manual_time              3281 ns       283840 ns       214287 bytes=4.096k bytes_per_second=1.16283G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):12/manual_time_mean         3277 ns       283775 ns            5 bytes=4.096k bytes_per_second=1.16406G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):12/manual_time_median       3281 ns       283941 ns            5 bytes=4.096k bytes_per_second=1.16283G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):12/manual_time_stddev       13.2 ns          760 ns            5 bytes=0 bytes_per_second=4.81904M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):12/manual_time_cv           0.40 %          0.27 %             5 bytes=0.00% bytes_per_second=0.40% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):13/manual_time              3340 ns       301994 ns       207615 bytes=8.192k bytes_per_second=2.28409G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):13/manual_time              3339 ns       301095 ns       207615 bytes=8.192k bytes_per_second=2.28527G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):13/manual_time              3322 ns       302489 ns       207615 bytes=8.192k bytes_per_second=2.29666G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):13/manual_time              3314 ns       301530 ns       207615 bytes=8.192k bytes_per_second=2.30205G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):13/manual_time              3329 ns       303923 ns       207615 bytes=8.192k bytes_per_second=2.29175G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):13/manual_time_mean         3329 ns       302206 ns            5 bytes=8.192k bytes_per_second=2.29196G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):13/manual_time_median       3329 ns       301994 ns            5 bytes=8.192k bytes_per_second=2.29175G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):13/manual_time_stddev       11.0 ns         1091 ns            5 bytes=0 bytes_per_second=7.77451M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):13/manual_time_cv           0.33 %          0.36 %             5 bytes=0.00% bytes_per_second=0.33% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):14/manual_time              3533 ns       339335 ns       196248 bytes=16.384k bytes_per_second=4.3195G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):14/manual_time              3521 ns       338896 ns       196248 bytes=16.384k bytes_per_second=4.33341G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):14/manual_time              3549 ns       339123 ns       196248 bytes=16.384k bytes_per_second=4.2996G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):14/manual_time              3550 ns       339158 ns       196248 bytes=16.384k bytes_per_second=4.29885G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):14/manual_time              3519 ns       339049 ns       196248 bytes=16.384k bytes_per_second=4.33606G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):14/manual_time_mean         3534 ns       339112 ns            5 bytes=16.384k bytes_per_second=4.31748G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):14/manual_time_median       3533 ns       339123 ns            5 bytes=16.384k bytes_per_second=4.3195G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):14/manual_time_stddev       14.6 ns          160 ns            5 bytes=0 bytes_per_second=18.2484M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):14/manual_time_cv           0.41 %          0.05 %             5 bytes=0.00% bytes_per_second=0.41% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):15/manual_time              4189 ns       414996 ns       167373 bytes=32.768k bytes_per_second=7.28488G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):15/manual_time              4162 ns       411905 ns       167373 bytes=32.768k bytes_per_second=7.33192G/s dst_numa=0 src_gpu=0
