
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:38:26 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:38:29.025] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:38:29.025] [scope] [info] recorded CPU goveror
[2023-10-09 17:38:29.025] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:38:29.025] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:38:31-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1790.37 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.63, 11.72, 27.46
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
Comm_implicit_mapped_GPURdHost/0/0/log2(N):12/manual_time             13343 ns        20307 ns        52486 bytes=4.096k bytes_per_second=292.754M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):12/manual_time             13339 ns        20320 ns        52486 bytes=4.096k bytes_per_second=292.839M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):12/manual_time             13346 ns        20286 ns        52486 bytes=4.096k bytes_per_second=292.686M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):12/manual_time             13340 ns        20322 ns        52486 bytes=4.096k bytes_per_second=292.828M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):12/manual_time             13337 ns        20307 ns        52486 bytes=4.096k bytes_per_second=292.881M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):12/manual_time_mean        13341 ns        20308 ns            5 bytes=4.096k bytes_per_second=292.798M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):12/manual_time_median      13340 ns        20307 ns            5 bytes=4.096k bytes_per_second=292.828M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):12/manual_time_stddev       3.52 ns         14.4 ns            5 bytes=0 bytes_per_second=79.1263k/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):12/manual_time_cv           0.03 %          0.07 %             5 bytes=0.00% bytes_per_second=0.03% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):13/manual_time             13364 ns        20549 ns        52394 bytes=8.192k bytes_per_second=584.599M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):13/manual_time             13364 ns        20583 ns        52394 bytes=8.192k bytes_per_second=584.594M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):13/manual_time             13360 ns        20438 ns        52394 bytes=8.192k bytes_per_second=584.781M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):13/manual_time             13375 ns        20561 ns        52394 bytes=8.192k bytes_per_second=584.116M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):13/manual_time             13376 ns        20551 ns        52394 bytes=8.192k bytes_per_second=584.081M/s own_numa=0 rd_gpu=0
