
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:44:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:44:32.047] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:44:32.048] [scope] [info] recorded CPU goveror
[2023-10-09 17:44:32.048] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:44:32.048] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:44:34-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.72 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.02, 0.44, 3.92
------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                    Time             CPU   Iterations UserCounters...
------------------------------------------------------------------------------------------------------------------------------
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):8/manual_time               6909 ns    716860622 ns       101169 bytes=256 bytes_per_second=35.338M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):8/manual_time               6918 ns    720743245 ns       101169 bytes=256 bytes_per_second=35.291M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):8/manual_time               6911 ns    718172915 ns       101169 bytes=256 bytes_per_second=35.3254M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):8/manual_time               6917 ns    721226792 ns       101169 bytes=256 bytes_per_second=35.2944M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):8/manual_time               6908 ns    717969308 ns       101169 bytes=256 bytes_per_second=35.3393M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):8/manual_time_mean          6913 ns    718994576 ns            5 bytes=256 bytes_per_second=35.3176M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):8/manual_time_median        6911 ns    718172915 ns            5 bytes=256 bytes_per_second=35.3254M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):8/manual_time_stddev        4.59 ns      1892135 ns            5 bytes=0 bytes_per_second=23.9927k/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):8/manual_time_cv            0.07 %          0.26 %             5 bytes=0.00% bytes_per_second=0.07% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):9/manual_time               6885 ns    718548672 ns       101579 bytes=512 bytes_per_second=70.9174M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):9/manual_time               6891 ns    722046395 ns       101579 bytes=512 bytes_per_second=70.8584M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):9/manual_time               6874 ns    718727919 ns       101579 bytes=512 bytes_per_second=71.0369M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):9/manual_time               6878 ns    721844970 ns       101579 bytes=512 bytes_per_second=70.9914M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):9/manual_time               6888 ns    718989207 ns       101579 bytes=512 bytes_per_second=70.8836M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):9/manual_time_mean          6883 ns    720031432 ns            5 bytes=512 bytes_per_second=70.9375M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):9/manual_time_median        6885 ns    718989207 ns            5 bytes=512 bytes_per_second=70.9174M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):9/manual_time_stddev        7.25 ns      1755915 ns            5 bytes=0 bytes_per_second=76.5091k/s hip_id=0 numa_id=0
