
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 08:12:06 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 20:12:09.020] [scope] [info] recorded system CPU turbo state
[2023-10-09 20:12:09.021] [scope] [info] recorded CPU goveror
[2023-10-09 20:12:09.021] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 20:12:09.021] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T20:12:11-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.68 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.91, 7.45, 10.79
---------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                       Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------------
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):12/manual_time              3016 ns       269728 ns       233544 bytes=4.096k bytes_per_second=1.26499G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):12/manual_time              2966 ns       270883 ns       233544 bytes=4.096k bytes_per_second=1.28596G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):12/manual_time              2981 ns       269693 ns       233544 bytes=4.096k bytes_per_second=1.27974G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):12/manual_time              2987 ns       270624 ns       233544 bytes=4.096k bytes_per_second=1.27727G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):12/manual_time              2983 ns       268939 ns       233544 bytes=4.096k bytes_per_second=1.27885G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):12/manual_time_mean         2986 ns       269973 ns            5 bytes=4.096k bytes_per_second=1.27736G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):12/manual_time_median       2983 ns       269728 ns            5 bytes=4.096k bytes_per_second=1.27885G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):12/manual_time_stddev       18.0 ns          784 ns            5 bytes=0 bytes_per_second=7.84637M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):12/manual_time_cv           0.60 %          0.29 %             5 bytes=0.00% bytes_per_second=0.60% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):13/manual_time              3067 ns       280318 ns       227769 bytes=8.192k bytes_per_second=2.48746G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):13/manual_time              3081 ns       280905 ns       227769 bytes=8.192k bytes_per_second=2.47597G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):13/manual_time              3040 ns       281396 ns       227769 bytes=8.192k bytes_per_second=2.50994G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):13/manual_time              3063 ns       282364 ns       227769 bytes=8.192k bytes_per_second=2.49123G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):13/manual_time              3058 ns       280979 ns       227769 bytes=8.192k bytes_per_second=2.49508G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):13/manual_time_mean         3062 ns       281193 ns            5 bytes=8.192k bytes_per_second=2.49194G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):13/manual_time_median       3063 ns       280979 ns            5 bytes=8.192k bytes_per_second=2.49123G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):13/manual_time_stddev       15.1 ns          759 ns            5 bytes=0 bytes_per_second=12.639M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):13/manual_time_cv           0.49 %          0.27 %             5 bytes=0.00% bytes_per_second=0.50% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):14/manual_time              3500 ns       305919 ns       199950 bytes=16.384k bytes_per_second=4.35947G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):14/manual_time              3498 ns       305739 ns       199950 bytes=16.384k bytes_per_second=4.36242G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):14/manual_time              3506 ns       305300 ns       199950 bytes=16.384k bytes_per_second=4.35192G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):14/manual_time              3498 ns       305128 ns       199950 bytes=16.384k bytes_per_second=4.36194G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):14/manual_time              3482 ns       305001 ns       199950 bytes=16.384k bytes_per_second=4.38156G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):14/manual_time_mean         3497 ns       305417 ns            5 bytes=16.384k bytes_per_second=4.36346G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):14/manual_time_median       3498 ns       305300 ns            5 bytes=16.384k bytes_per_second=4.36194G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):14/manual_time_stddev       8.76 ns          396 ns            5 bytes=0 bytes_per_second=11.2213M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):14/manual_time_cv           0.25 %          0.13 %             5 bytes=0.00% bytes_per_second=0.25% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):15/manual_time              4306 ns       352079 ns       161987 bytes=32.768k bytes_per_second=7.08712G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):15/manual_time              4348 ns       352247 ns       161987 bytes=32.768k bytes_per_second=7.01909G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):15/manual_time              4334 ns       351926 ns       161987 bytes=32.768k bytes_per_second=7.04178G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):15/manual_time              4335 ns       352437 ns       161987 bytes=32.768k bytes_per_second=7.03933G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):15/manual_time              4311 ns       352361 ns       161987 bytes=32.768k bytes_per_second=7.0784G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):15/manual_time_mean         4327 ns       352210 ns            5 bytes=32.768k bytes_per_second=7.05314G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):15/manual_time_median       4334 ns       352247 ns            5 bytes=32.768k bytes_per_second=7.04178G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):15/manual_time_stddev       17.5 ns          208 ns            5 bytes=0 bytes_per_second=29.2871M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):15/manual_time_cv           0.41 %          0.06 %             5 bytes=0.00% bytes_per_second=0.41% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time              5345 ns       440822 ns       130995 bytes=65.536k bytes_per_second=11.4198G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time              5348 ns       440375 ns       130995 bytes=65.536k bytes_per_second=11.4121G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time              5352 ns       440549 ns       130995 bytes=65.536k bytes_per_second=11.4033G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time              5343 ns       441081 ns       130995 bytes=65.536k bytes_per_second=11.4238G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time              5346 ns       441041 ns       130995 bytes=65.536k bytes_per_second=11.4161G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time_mean         5347 ns       440774 ns            5 bytes=65.536k bytes_per_second=11.415G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time_median       5346 ns       440822 ns            5 bytes=65.536k bytes_per_second=11.4161G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time_stddev       3.69 ns          307 ns            5 bytes=0 bytes_per_second=8.05354M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time_cv           0.07 %          0.07 %             5 bytes=0.00% bytes_per_second=0.07% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7329 ns       622063 ns        94802 bytes=131.072k bytes_per_second=16.6566G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7300 ns       621012 ns        94802 bytes=131.072k bytes_per_second=16.7228G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7390 ns       620054 ns        94802 bytes=131.072k bytes_per_second=16.5193G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7328 ns       620951 ns        94802 bytes=131.072k bytes_per_second=16.6571G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7328 ns       620685 ns        94802 bytes=131.072k bytes_per_second=16.6581G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time_mean         7335 ns       620953 ns            5 bytes=131.072k bytes_per_second=16.6428G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time_median       7328 ns       620951 ns            5 bytes=131.072k bytes_per_second=16.6571G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time_stddev       33.0 ns          727 ns            5 bytes=0 bytes_per_second=76.421M/s dst_numa=0 src_gpu=0
