
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:45:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:45:31.397] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:45:31.398] [scope] [info] recorded CPU goveror
[2023-10-09 17:45:31.398] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:45:31.398] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:45:33-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.92 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.29, 3.20, 19.10
--------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):12/manual_time             12267 ns        28660 ns        57046 bytes=4.096k bytes_per_second=318.429M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):12/manual_time             12267 ns        28686 ns        57046 bytes=4.096k bytes_per_second=318.426M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):12/manual_time             12267 ns        28643 ns        57046 bytes=4.096k bytes_per_second=318.44M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):12/manual_time             12268 ns        28659 ns        57046 bytes=4.096k bytes_per_second=318.411M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):12/manual_time             12271 ns        28656 ns        57046 bytes=4.096k bytes_per_second=318.343M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):12/manual_time_mean        12268 ns        28661 ns            5 bytes=4.096k bytes_per_second=318.41M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):12/manual_time_median      12267 ns        28659 ns            5 bytes=4.096k bytes_per_second=318.426M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):12/manual_time_stddev       1.49 ns         15.5 ns            5 bytes=0 bytes_per_second=39.5298k/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):12/manual_time_cv           0.01 %          0.05 %             5 bytes=0.00% bytes_per_second=0.01% own_gpu=-nan% wr_gpu=-nan%
